created_at,Temperature,Humidity,PM 2.5,PM 10
2025-02-11T08:09:16+00:00,36.72,35.17,44,63.5
2025-02-11T08:13:34+00:00,36.82,35.47,44.7,66.4
2025-02-11T08:14:01+00:00,36.91,35.27,43.7,65.1
2025-02-11T08:14:16+00:00,36.94,35.3,44.4,67.8
2025-02-11T08:14:59+00:00,36.99,35.35,46.8,71.9
2025-02-11T08:15:15+00:00,37.03,35.41,45.2,69.4
2025-02-11T08:15:48+00:00,37.04,35.42,45.7,67.6
2025-02-11T08:16:04+00:00,37.05,35.47,43.8,64.4
2025-02-11T08:16:31+00:00,37.04,35.45,45.3,66.2
2025-02-11T08:17:18+00:00,37.08,35.46,43.4,59.5
2025-02-11T08:17:39+00:00,37.13,35.3,42.8,61.4
2025-02-11T08:17:55+00:00,37.12,35.07,46.4,65.7
2025-02-11T08:18:50+00:00,37.1,34.74,43.1,67.1
2025-02-11T08:19:14+00:00,37.09,34.82,43.7,68.6
2025-02-11T08:19:49+00:00,37.11,34.97,45.4,78.9
2025-02-11T08:20:30+00:00,37.1,34.99,44.9,63.8
2025-02-11T08:21:28+00:00,36.97,35.12,44.4,62.6
2025-02-11T08:22:03+00:00,36.95,35.14,45.1,62.8
2025-02-11T08:22:19+00:00,36.96,35.09,45.4,64.3
2025-02-11T08:23:07+00:00,36.91,35.27,46.1,66.9
2025-02-11T08:23:25+00:00,36.9,35.21,45.2,66.6
2025-02-11T08:24:22+00:00,36.87,35.21,45.6,66.8
2025-02-11T08:24:41+00:00,36.87,35.27,44.8,67.9
2025-02-11T08:25:02+00:00,36.87,35.21,43.2,64.4
2025-02-11T08:25:18+00:00,36.84,35.17,43.8,67
2025-02-11T08:26:05+00:00,36.87,34.87,42.7,69
2025-02-11T08:26:21+00:00,36.86,34.8,42.7,63.4
2025-02-11T08:26:58+00:00,36.81,34.79,44.7,62.5
2025-02-11T08:27:48+00:00,36.79,35.36,44.8,75.2
2025-02-11T08:28:08+00:00,36.84,35.5,44.4,72.8
2025-02-11T08:28:33+00:00,36.84,35.58,43.5,72.6
2025-02-11T08:28:51+00:00,36.82,35.58,45.6,72.2
2025-02-11T08:29:09+00:00,36.86,35.6,45,69.7
2025-02-11T08:29:32+00:00,36.88,35.52,45.6,72.7
2025-02-11T08:30:41+00:00,36.92,35.41,44.5,69.6
2025-02-11T08:32:11+00:00,37.05,35.46,45.7,67.6
2025-02-11T08:32:59+00:00,37.06,35.45,44.8,69.7
2025-02-11T08:33:38+00:00,37.08,35.08,42.6,72.4
2025-02-11T08:34:18+00:00,37.07,34.94,45.5,68.7
2025-02-11T08:35:12+00:00,37.11,34.85,45.4,79.8
2025-02-11T08:37:19+00:00,37.14,34.85,43.4,71.4
2025-02-11T08:38:18+00:00,37.17,34.95,45.9,76.8
2025-02-11T08:38:56+00:00,37.19,34.65,44.1,64.2
2025-02-11T08:41:52+00:00,37.48,34.61,44.5,84
2025-02-11T09:01:16+00:00,39.63,31.76,44.9,72.4
2025-02-11T09:03:59+00:00,38.91,32.35,44.3,72.5
2025-02-11T09:04:50+00:00,38.67,32.62,45.9,73.9
2025-02-11T09:05:10+00:00,38.63,32.74,46.3,87.2
2025-02-11T09:06:38+00:00,38.41,33,42.5,61.4
2025-02-11T09:06:54+00:00,38.37,32.98,44.3,71.1
2025-02-11T09:07:36+00:00,38.26,33.01,43.7,68.4
2025-02-11T09:08:28+00:00,38.07,33.28,44.7,71.2
2025-02-11T09:19:15+00:00,37.36,34.14,44.2,71.1
2025-02-11T09:19:39+00:00,37.35,34.1,44.6,72.9
2025-02-11T09:21:15+00:00,37.44,33.65,45.5,79.7
2025-02-11T09:23:22+00:00,37.74,33.67,45.1,83.3
2025-02-11T09:24:06+00:00,37.76,33.52,43.3,74.7
2025-02-11T09:24:41+00:00,37.79,33.53,43.4,71.6
2025-02-11T09:25:12+00:00,37.74,33.53,43.8,72.7
2025-02-11T09:25:37+00:00,37.72,33.46,43.5,64.9
2025-02-11T09:25:55+00:00,37.68,33.4,43.1,61.7
2025-02-11T09:27:03+00:00,37.69,33.57,44.1,66.4
2025-02-11T09:30:08+00:00,37.94,33.87,46.7,105
2025-02-11T09:30:24+00:00,38,33.77,44.1,78.3
2025-02-11T09:30:43+00:00,38.02,33.8,44.6,73.3
2025-02-11T09:30:59+00:00,38.04,33.83,44.5,76.7
2025-02-11T09:32:11+00:00,38.08,33.73,45.4,71
2025-02-11T09:32:31+00:00,38.07,33.76,43.1,72.1
2025-02-11T09:32:51+00:00,38.04,33.82,44,73.9
2025-02-11T09:33:11+00:00,38.04,33.85,44.6,77.1
2025-02-11T09:33:26+00:00,38,33.9,44.1,71
2025-02-11T09:33:46+00:00,37.94,33.89,44,66.8
2025-02-11T09:34:06+00:00,37.9,33.84,44.9,73.1
2025-02-11T09:34:50+00:00,37.76,33.84,45.2,78.9
2025-02-11T09:35:10+00:00,37.72,33.87,44.8,85.1
2025-02-11T09:35:30+00:00,37.69,33.85,45.2,94.3
2025-02-11T09:35:53+00:00,37.62,33.87,44.1,85.3
2025-02-11T09:36:23+00:00,37.52,33.92,44.7,72.8
2025-02-11T09:36:53+00:00,37.44,33.9,43.3,70.7
2025-02-11T09:37:08+00:00,37.41,33.96,45.8,73.6
2025-02-11T09:37:32+00:00,37.36,34.07,45.6,81.9
2025-02-11T09:37:49+00:00,37.31,34.08,44.7,78.2
2025-02-11T09:38:04+00:00,37.27,34.14,45.3,79.2
2025-02-11T09:38:45+00:00,37.19,34.12,46.6,117.1
2025-02-11T09:39:06+00:00,37.17,34.06,45.2,89.9
2025-02-11T09:39:22+00:00,37.14,34.07,47.2,92.3
2025-02-11T09:39:41+00:00,37.09,34.02,46.6,86.2
2025-02-11T09:39:57+00:00,37.05,33.96,44,72.1
2025-02-11T09:40:23+00:00,36.98,33.99,45.2,91.5
2025-02-11T09:40:38+00:00,36.98,34,46.2,94.6
2025-02-11T09:41:00+00:00,36.93,34.17,47,131.3
2025-02-11T09:41:42+00:00,36.9,34.59,49,133.9
2025-02-11T09:42:04+00:00,36.88,34.84,48.4,143.9
2025-02-11T09:43:31+00:00,37.01,34.89,49.2,213.6
2025-02-11T09:43:56+00:00,37.01,34.75,47.7,148.5
2025-02-11T09:44:20+00:00,37.04,34.6,45.7,100
2025-02-11T09:44:42+00:00,37.07,34.42,45,99
2025-02-11T09:45:03+00:00,37.11,34.24,43.6,90.6
2025-02-11T09:45:19+00:00,37.09,34.18,46,101.2
2025-02-11T09:45:36+00:00,37.08,34.2,45.8,97.8
2025-02-11T09:45:55+00:00,37.07,34.35,46.7,97.6
2025-02-11T09:46:22+00:00,37.06,34.4,46.6,93.2
2025-02-11T09:48:49+00:00,37.31,34.81,45.5,86.8
2025-02-11T09:49:18+00:00,37.36,34.38,42.6,79.3
2025-02-11T09:49:50+00:00,37.38,34.17,43.7,78.2
2025-02-11T09:50:40+00:00,37.45,34.24,48.9,162.2
2025-02-11T09:51:57+00:00,37.47,34.19,44.8,101.3
2025-02-11T09:53:01+00:00,37.52,34.3,52.8,279.9
2025-02-11T09:53:33+00:00,37.48,34.53,48.8,149.4
2025-02-11T09:53:53+00:00,37.45,34.62,44.4,100.5
2025-02-11T09:54:14+00:00,37.42,34.63,45.5,103.8
2025-02-11T09:54:43+00:00,37.39,34.79,44.1,89.4
2025-02-11T09:55:03+00:00,37.36,34.83,44.1,75.4
2025-02-11T09:55:19+00:00,37.29,34.92,45.4,75.3
2025-02-11T09:55:56+00:00,37.23,34.87,43.7,73.8
2025-02-11T09:56:13+00:00,37.19,34.72,41.2,65.4
2025-02-11T09:56:41+00:00,37.12,34.96,42.5,77
2025-02-11T09:56:58+00:00,37.09,35.1,44.3,79.3
2025-02-11T09:57:19+00:00,37.05,35.31,44.8,91.1
2025-02-11T09:57:37+00:00,37.01,35.49,44.6,81.6
2025-02-11T09:57:55+00:00,36.99,35.62,44.2,82.7
2025-02-11T09:58:26+00:00,36.92,35.75,44.7,89.8
2025-02-11T09:59:13+00:00,36.83,35.79,45,82.1
2025-02-11T09:59:45+00:00,36.74,36,45.2,82.3
2025-02-11T10:00:36+00:00,36.64,36.05,44.1,82.4
2025-02-11T10:01:05+00:00,36.61,36.03,45.1,77.9
2025-02-11T10:01:26+00:00,36.59,36.02,42.4,74.1
2025-02-11T10:01:46+00:00,36.57,35.73,41.3,74.7
2025-02-11T10:02:07+00:00,36.56,35.66,43.5,104.9
2025-02-11T10:02:27+00:00,36.55,35.66,43,95.6
2025-02-11T10:03:06+00:00,36.51,35.52,44,130.9
2025-02-11T10:03:30+00:00,36.51,35.52,42.3,87.1
2025-02-11T10:03:51+00:00,36.51,35.56,42.6,80.5
2025-02-11T10:04:54+00:00,36.5,35.63,44.9,92.8
2025-02-11T10:05:23+00:00,36.54,35.58,42,77.1
2025-02-11T10:05:54+00:00,36.56,35.63,42.7,73.6
2025-02-11T10:06:21+00:00,36.54,35.87,44.1,70.8
2025-02-11T10:06:39+00:00,36.56,35.96,42.4,86.1
2025-02-11T10:08:42+00:00,36.5,36.44,43.2,80.4
2025-02-11T10:09:14+00:00,36.51,36.45,42.7,70.2
2025-02-11T10:09:33+00:00,36.55,36.49,43.5,75
2025-02-11T10:10:35+00:00,36.61,36.76,43.5,81.6
2025-02-11T10:11:08+00:00,36.61,36.88,44.1,80.3
2025-02-11T10:11:25+00:00,36.64,36.94,44.7,77.4
2025-02-11T10:11:49+00:00,36.63,36.94,44.7,76.8
2025-02-11T10:12:47+00:00,36.63,36.41,42.7,74
2025-02-11T10:13:21+00:00,36.62,35.97,43.6,69.4
2025-02-11T10:13:41+00:00,36.65,35.79,41.2,63.1
2025-02-11T10:14:00+00:00,36.63,35.76,40.4,66.4
2025-02-11T10:14:25+00:00,36.62,35.74,40.6,63.6
2025-02-11T10:15:12+00:00,36.7,35.87,42.7,70.2
2025-02-11T10:15:30+00:00,36.73,35.82,41.9,73.5
2025-02-11T10:15:50+00:00,36.79,35.86,43.1,69
2025-02-11T10:16:10+00:00,36.79,35.89,42.5,68.6
2025-02-11T10:16:29+00:00,36.78,35.93,41.8,75.5
2025-02-11T10:16:45+00:00,36.78,35.99,41.8,77
2025-02-11T10:17:07+00:00,36.83,36.12,43.2,74.6
2025-02-11T10:17:27+00:00,36.83,36.24,42.3,76
2025-02-11T10:17:46+00:00,36.82,36.2,42.1,68.7
2025-02-11T10:18:12+00:00,36.82,36.14,42.7,71.5
2025-02-11T10:18:28+00:00,36.8,36.14,43.4,86.6
2025-02-11T10:19:07+00:00,36.79,36.21,44.4,89.7
2025-02-11T10:19:23+00:00,36.78,36.18,44.8,93.5
2025-02-11T10:19:46+00:00,36.76,36.18,43.2,94.9
2025-02-11T10:20:06+00:00,36.74,36.25,43.7,98.5
2025-02-11T10:21:39+00:00,36.77,35.94,41.7,83.4
2025-02-11T10:22:47+00:00,36.8,35.9,43.7,79
2025-02-11T10:23:13+00:00,36.83,35.95,44.8,80.2
2025-02-11T10:25:24+00:00,36.99,36.16,43.8,82.3
2025-02-11T10:26:32+00:00,36.95,36.18,42,80.2
